Win,Loss,Team,Data,,
40,8,CHC,"[8, 12, 1876]",,
30,13,HAR,"[8, 12, 1876]",,
31,15,STL,"[8, 12, 1876]",,
20,28,LOU,"[8, 12, 1876]",,
12,34,ATH,"[8, 12, 1876]",,
6,40,CIN,"[8, 12, 1876]",,
31,13,HAR,"[8, 14, 1876]",,
12,35,ATH,"[8, 14, 1876]",,
40,9,CHC,"[8, 15, 1876]",,
32,15,STL,"[8, 15, 1876]",,
21,28,LOU,"[8, 15, 1876]",,
6,41,CIN,"[8, 15, 1876]",,
40,10,CHC,"[8, 17, 1876]",,
33,15,STL,"[8, 17, 1876]",,
18,26,NYU,"[8, 17, 1876]",,
13,35,ATH,"[8, 17, 1876]",,
32,13,HAR,"[8, 18, 1876]",,
25,20,BSN,"[8, 18, 1876]",,
22,28,LOU,"[8, 18, 1876]",,
6,42,CIN,"[8, 18, 1876]",,
32,14,HAR,"[8, 19, 1876]",,
26,20,BSN,"[8, 19, 1876]",,
23,28,LOU,"[8, 19, 1876]",,
13,36,ATH,"[8, 19, 1876]",,
6,43,CIN,"[8, 19, 1876]",,
40,11,CHC,"[8, 21, 1876]",,
33,14,HAR,"[8, 21, 1876]",,
34,15,STL,"[8, 21, 1876]",,
26,21,BSN,"[8, 21, 1876]",,
41,11,CHC,"[8, 22, 1876]",,
34,16,STL,"[8, 22, 1876]",,
27,21,BSN,"[8, 22, 1876]",,
24,28,LOU,"[8, 22, 1876]",,
6,44,CIN,"[8, 22, 1876]",,
28,21,BSN,"[8, 23, 1876]",,
13,37,ATH,"[8, 23, 1876]",,
29,21,BSN,"[8, 24, 1876]",,
13,38,ATH,"[8, 24, 1876]",,
41,12,CHC,"[8, 25, 1876]",,
35,16,STL,"[8, 25, 1876]",,
30,21,BSN,"[8, 25, 1876]",,
24,29,LOU,"[8, 25, 1876]",,
7,44,CIN,"[8, 25, 1876]",,
42,12,CHC,"[8, 26, 1876]",,
35,17,STL,"[8, 26, 1876]",,
30,22,BSN,"[8, 26, 1876]",,
25,29,LOU,"[8, 26, 1876]",,
7,45,CIN,"[8, 26, 1876]",,
43,12,CHC,"[9, 5, 1876]",,
36,17,STL,"[9, 5, 1876]",,
31,22,BSN,"[9, 5, 1876]",,
25,30,LOU,"[9, 5, 1876]",,
13,39,ATH,"[9, 5, 1876]",,
7,46,CIN,"[9, 5, 1876]",,
44,12,CHC,"[9, 6, 1876]",,
35,15,HAR,"[9, 6, 1876]",,
37,17,STL,"[9, 6, 1876]",,
32,22,BSN,"[9, 6, 1876]",,
25,31,LOU,"[9, 6, 1876]",,
20,29,NYU,"[9, 6, 1876]",,
13,40,ATH,"[9, 6, 1876]",,
7,47,CIN,"[9, 6, 1876]",,
45,12,CHC,"[9, 8, 1876]",,
38,17,STL,"[9, 8, 1876]",,
33,22,BSN,"[9, 8, 1876]",,
25,32,LOU,"[9, 8, 1876]",,
20,30,NYU,"[9, 8, 1876]",,
13,41,ATH,"[9, 8, 1876]",,
46,12,CHC,"[9, 9, 1876]",,
37,15,HAR,"[9, 9, 1876]",,
39,17,STL,"[9, 9, 1876]",,
20,31,NYU,"[9, 9, 1876]",,
13,42,ATH,"[9, 9, 1876]",,
7,49,CIN,"[9, 9, 1876]",,
34,22,BSN,"[9, 11, 1876]",,
25,33,LOU,"[9, 11, 1876]",,
46,13,CHC,"[9, 12, 1876]",,
38,15,HAR,"[9, 12, 1876]",,
40,17,STL,"[9, 12, 1876]",,
34,23,BSN,"[9, 12, 1876]",,
26,33,LOU,"[9, 12, 1876]",,
20,32,NYU,"[9, 12, 1876]",,
14,42,ATH,"[9, 12, 1876]",,
7,50,CIN,"[9, 12, 1876]",,
47,13,CHC,"[9, 13, 1876]",,
38,16,HAR,"[9, 13, 1876]",,
40,18,STL,"[9, 13, 1876]",,
35,23,BSN,"[9, 13, 1876]",,
27,33,LOU,"[9, 13, 1876]",,
20,33,NYU,"[9, 13, 1876]",,
14,43,ATH,"[9, 13, 1876]",,
8,50,CIN,"[9, 13, 1876]",,
48,13,CHC,"[9, 15, 1876]",,
41,18,STL,"[9, 15, 1876]",,
35,24,BSN,"[9, 15, 1876]",,
28,33,LOU,"[9, 15, 1876]",,
