Loss,Win,Team,Date,Img_Link
5,5,Boston Americans,"5, 7, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
10,3,Milwaukee Brewers,"5, 7, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
4,9,Chicago White Sox,"5, 8, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
5,6,Boston Americans,"5, 8, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
6,5,Washington Senators,"5, 8, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
9,4,Cleveland Blues,"5, 8, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
4,10,Chicago White Sox,"5, 9, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
5,7,Boston Americans,"5, 9, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
10,4,Cleveland Blues,"5, 9, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
4,11,Chicago White Sox,"5, 10, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
11,4,Cleveland Blues,"5, 10, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
4,12,Detroit Tigers,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
5,11,Chicago White Sox,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
6,7,Boston Americans,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
6,6,Washington Senators,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
8,5,Philadelphia Athletics,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
11,5,Milwaukee Brewers,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
12,4,Cleveland Blues,"5, 11, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
4,13,Detroit Tigers,"5, 12, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
6,11,Chicago White Sox,"5, 12, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
11,6,Milwaukee Brewers,"5, 12, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
13,4,Cleveland Blues,"5, 12, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
4,14,Detroit Tigers,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
7,11,Chicago White Sox,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
5,8,Baltimore Orioles ,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
7,7,Boston Americans,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
11,7,Milwaukee Brewers,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
9,5,Philadelphia Athletics,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
14,4,Cleveland Blues,"5, 13, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
5,14,Detroit Tigers,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
7,12,Chicago White Sox,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
5,9,Baltimore Orioles ,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
6,8,Washington Senators,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
8,7,Boston Americans,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
11,8,Milwaukee Brewers,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
10,5,Philadelphia Athletics,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
15,4,Cleveland Blues,"5, 14, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
5,10,Baltimore Orioles ,"5, 15, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
6,9,Washington Senators,"5, 15, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
9,7,Boston Americans,"5, 15, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
5,15,Detroit Tigers,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
7,13,Chicago White Sox,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
6,10,Washington Senators,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
10,7,Boston Americans,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
12,8,Milwaukee Brewers,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
12,5,Philadelphia Athletics,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
16,4,Cleveland Blues,"5, 16, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
5,16,Detroit Tigers,"5, 17, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
7,14,Chicago White Sox,"5, 17, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
10,8,Boston Americans,"5, 17, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
13,8,Milwaukee Brewers,"5, 17, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
13,5,Philadelphia Athletics,"5, 17, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
17,4,Cleveland Blues,"5, 17, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
6,16,Detroit Tigers,"5, 18, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
7,15,Chicago White Sox,"5, 18, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
14,8,Milwaukee Brewers,"5, 18, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
13,6,Philadelphia Athletics,"5, 18, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
17,5,Cleveland Blues,"5, 18, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
7,16,Chicago White Sox,"5, 19, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
15,8,Milwaukee Brewers,"5, 19, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
17,6,Cleveland Blues,"5, 19, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
7,17,Detroit Tigers,"5, 20, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
14,6,Philadelphia Athletics,"5, 20, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
18,6,Cleveland Blues,"5, 20, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
8,17,Detroit Tigers,"5, 22, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
8,16,Chicago White Sox,"5, 22, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
8,12,Washington Senators,"5, 22, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
10,9,Boston Americans,"5, 22, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
14,7,Philadelphia Athletics,"5, 22, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
18,7,Cleveland Blues,"5, 22, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
9,17,Detroit Tigers,"5, 23, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
9,12,Washington Senators,"5, 23, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
10,10,Boston Americans,"5, 23, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
15,7,Philadelphia Athletics,"5, 23, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
18,8,Cleveland Blues,"5, 23, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
9,18,Detroit Tigers,"5, 24, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
11,10,Boston Americans,"5, 24, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
8,18,Chicago White Sox,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
10,18,Detroit Tigers,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
9,13,Washington Senators,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
11,11,Boston Americans,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
15,9,Milwaukee Brewers,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
16,7,Philadelphia Athletics,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
19,8,Cleveland Blues,"5, 25, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
8,19,Chicago White Sox,"5, 26, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
8,11,Baltimore Orioles ,"5, 26, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
15,10,Milwaukee Brewers,"5, 26, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
17,7,Philadelphia Athletics,"5, 26, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
8,20,Chicago White Sox,"5, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
11,18,Detroit Tigers,"5, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
9,14,Washington Senators,"5, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
9,11,Baltimore Orioles ,"5, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
16,10,Milwaukee Brewers,"5, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
17,8,Philadelphia Athletics,"5, 27, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
9,20,Chicago White Sox,"5, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
17,10,Milwaukee Brewers,"5, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
17,9,Philadelphia Athletics,"5, 28, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
9,21,Chicago White Sox,"5, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
10,12,Baltimore Orioles ,"5, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
18,10,Milwaukee Brewers,"5, 29, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
9,23,Chicago White Sox,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
12,19,Detroit Tigers,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
11,14,Washington Senators,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
11,13,Baltimore Orioles ,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
13,11,Boston Americans,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
17,12,Philadelphia Athletics,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
18,12,Milwaukee Brewers,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
21,8,Cleveland Blues,"5, 30, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
9,24,Chicago White Sox,"5, 31, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
12,20,Detroit Tigers,"5, 31, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
12,13,Baltimore Orioles ,"5, 31, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
14,11,Boston Americans,"5, 31, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
17,13,Philadelphia Athletics,"5, 31, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
22,8,Cleveland Blues,"5, 31, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
10,24,Chicago White Sox,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
13,20,Detroit Tigers,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
11,15,Washington Senators,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
12,14,Baltimore Orioles ,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
14,12,Boston Americans,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
17,14,Philadelphia Athletics,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
19,12,Milwaukee Brewers,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
23,8,Cleveland Blues,"6, 1, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
11,24,Chicago White Sox,"6, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
14,20,Detroit Tigers,"6, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
11,16,Washington Senators,"6, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
14,13,Boston Americans,"6, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
17,15,Philadelphia Athletics,"6, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
20,12,Milwaukee Brewers,"6, 2, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
12,24,Chicago White Sox,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
11,17,Washington Senators,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
15,20,Detroit Tigers,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
12,15,Baltimore Orioles ,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
17,16,Philadelphia Athletics,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
15,13,Boston Americans,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
20,13,Milwaukee Brewers,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/CHW-2022.png'
24,8,Cleveland Blues,"6, 3, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
12,25,Chicago White Sox,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/WSH-1960.png'
15,21,Detroit Tigers,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/BAL-2022.png'
12,17,Washington Senators,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
13,15,Baltimore Orioles ,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
18,16,Philadelphia Athletics,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/MLA-1901.png'
16,13,Boston Americans,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/CLE-1901.png'
20,14,Milwaukee Brewers,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202208192/tlogo/br/DET-2022.png'
24,9,Cleveland Blues,"6, 4, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/BOS-1907.png'
15,22,Detroit Tigers,"6, 5, 1901",'https://d2p3bygnnzw9w3.cloudfront.net/req/202207051/tlogo/br/PHA-1954.png'
